Test,ID,Group,Weight,Distance,center_freq,center_time,center_dist,center_lat,outer_freq,outer_time,outer_dist,boli
1,14388,C,33.8,11.486,8,15.2,0.72,3.1,9,584.8,10.766,8
2,14389,C,32.2,16.258,30,38.1,1.85,8.7,31,561.9,14.407,13
3,14390,C,30.6,18.89,24,27.4,0.787,1.1,24,572.6,18.103,5
4,14391,C,31.5,23.971,68,174.8,7.882,1,68,425.2,16.089,3
5,14392,C,32.4,4.375,2,2,0.041,1.8,3,598,4.334,9
6,14393,C,28.9,23.431,43,104,3.687,0.3,44,496,19.744,8
8,14394,C,32.9,16.896,20,17.3,0.564,4.5,21,582.7,16.331,6
7,14395,C,31,10.757,13,20.3,0.373,10.1,14,579.7,10.384,10
9,14396,C,33.9,5.541,0,0,0,600,1,600,5.541,12
10,14397,C,32.2,9.452,0,0,0,600,1,600,9.452,7
11,14398,C,31.2,3.711,2,0.2,0,131.2,3,599.8,3.711,3
12,14399,C,32.1,31.734,65,115,7.946,1,65,485,23.788,5
13,14400,S,30.8,1.275,0,0,0,600,1,600,1.275,7
14,14401,S,26.5,27.065,27,59.4,3.854,47.8,28,540.6,23.211,3
15,14402,S,31.9,2.772,0,0,0,600,1,600,2.772,11
16,14403,S,31.5,19.726,10,14.2,0.735,6.7,11,585.8,18.991,7
17,14404,S,31.5,9.403,3,2.6,0.055,11.6,4,597.4,9.348,8
18,14405,S,31.4,24.948,8,7,1.217,54.4,9,593,23.73,9
19,14406,S,32.2,9.012,0,0,0,600,1,600,9.012,10
20,14407,S,33.3,5.966,0,0,0,600,1,600,5.966,5
23,14408,S,30.3,3.3,0,0,0,600,1,600,3.3,12
21,14409,S,31,1.334,0,0,0,600,1,600,1.334,13
24,14410,S,31.1,9.407,0,0,0,600,1,600,9.407,13
22,14411,S,28.5,5.955,0,0,0,600,1,600,5.955,7
