DadID,Intervals,d_durswimpass,d_durimmob,d_durswim,d_passwimfreq,d_passfreq,d_swimfreq,lat_immob,grp,dadwgt
14388,120.00-360.00,105.618,132.747,1.63493,11,10,1,79.1775,C,33.8
14389,120.00-360.00,82.1312,157.869,0,7,5,0,75.3738,C,32.2
14390,120.00-360.00,53.8194,186.181,0,5,7,0,90.5887,C,30.6
14391,120.00-360.00,71.0362,168.964,0,4,5,0,85.0833,C,31.5
14392,120.00-360.00,141.019,83.3991,15.5819,8,5,3,84.5161,C,32.4
14393,120.00-360.00,35.6349,204.365,0,6,7,0,108.706,C,28.9
14394,120.00-360.00,65.0971,174.903,0,5,6,0,82.0136,C,32.9
14395,120.00-360.00,32.9831,207.017,0,4,5,0,133.998,C,31
14396,120.00-360.00,104.683,135.317,0,4,4,0,96.1274,C,33.9
14397,120.00-360.00,33.1467,206.853,0,4,4,0,88.0862,C,32.2
14398,120.00-360.00,145.623,66.8496,27.5269,4,3,1,62.3944,C,31.2
14399,120.00-360.00,50.7338,189.266,0,7,7,0,70.8027,C,32.1
14400,120.00-360.00,64.881,175.119,0,5,5,0,129.227,S,30.8
14401,120.00-360.00,88.1863,151.814,0,4,5,0,90.255,S,26.5
14402,120.00-360.00,141.57,98.4297,0,4,3,0,197.627,S,31.9
14403,120.00-360.00,142.873,97.1268,0,4,5,0,117.615,S,31.5
14404,120.00-360.00,67.0164,172.984,0,5,6,0,112.277,S,31.5
14405,120.00-360.00,98.4948,141.505,0,7,6,0,106.638,S,31.4
14406,120.00-360.00,159.388,80.6123,0,5,4,0,74.1393,S,32.2
14407,120.00-360.00,93.7251,146.275,0,5,6,0,82.3473,S,33.3
14408,120.00-360.00,29.7433,210.257,0,7,7,0,48.3473,S,30.3
14409,120.00-360.00,90.0691,143.892,6.03925,4,3,1,114.913,S,31
14410,120.00-360.00,92.6557,147.344,0,7,5,0,98.0293,S,31.1
14411,120.00-360.00,62.145,177.855,0,6,6,0,137.001,S,28.5
