Observations,ID,Total duration <swimming>,Total duration struggle,Total duration passive swim,Total duration immobile,Total number <swimming>,Total number struggle,Total number passive swim,Total number immobile
video 1 id 766,14766,0,4.49995,149.964,85.5361,0,2,19,17
video 1 id 789,14789,0,0,78.3314,161.669,0,0,15,13
video 1 id 792,14792,0,0,77.235,162.765,0,0,19,20
video 1 id 841,14841,0,0,91.1979,148.802,0,0,15,13
video 10 id 335,14335,0,0,143.864,96.136,0,0,9,8
video 10 id 811,14811,0,0,144.368,95.6324,0,0,16,14
video 10 id 812,14812,0,0,137.897,102.103,0,0,15,12
video 10 id 815,14815,6.09994,14.8332,201.4,17.6665,2,4,11,6
video 10 id 832,14832,0,6.83327,74.2017,158.965,0,2,12,8
video 11 id 800,14800,0,0,73.1993,166.801,0,0,9,13
video 11 id 810,14810,2.99997,0,67.5981,169.402,1,0,12,8
video 11 id 822,14822,0,0,68.6993,171.301,0,0,9,12
video 11 id 823,14823,0,4.19996,39.9663,195.834,0,1,6,6
video 11 id 826,14826,0,0,80.0313,159.969,0,0,12,13
video 12 id 797,14797,0,0,196.564,43.4365,0,0,15,11
video 12 id 819,14819,0,0,55.5352,184.465,0,0,13,15
video 12 id 827,14827,0,0,40.2329,199.767,0,0,11,16
video 12 id 844,14844,0,0,66.466,173.534,0,0,13,14
video 12 id 845,14845,4.49995,3.66663,14.1332,217.7,3,2,8,6
video 13 id 813,14813,5.93327,0,65.6684,168.398,1,0,11,15
video 13 id 818,14818,2.06665,0,25.4331,212.5,1,0,2,3
video 13 id 830,14830,0,0,125.968,114.032,0,0,17,16
video 13 id 831,14831,0,0,77.6659,162.334,0,0,9,11
video 13 id 838,14838,1.46665,0,67.4327,171.101,1,0,13,24
video 14 id 824,14824,26.1997,0,69.3981,144.402,3,0,8,9
video 14 id 852,14852,2.39998,0,161.631,75.9695,1,0,15,12
video 3 id 769,14769,0,0,189.534,50.4662,0,0,19,15
video 4 id 771,14771,0,0,0,240,0,0,0,9
video 4 id 772,14772,3.99996,0,132.634,103.366,1,0,23,15
video 5 id 761,14761,0,0,83.598,156.402,0,0,10,13
video 5 id 787,14787,0,0,52.4019,187.598,0,0,12,16
video 5 id 791,14791,0,0,60.3994,179.601,0,0,5,6
video 5 id 796,14796,0,0,23.8998,216.1,0,0,4,4
video 5 id 804,14804,0,0,107.166,132.834,0,0,15,19
video 6 id 773,14773,0,0,76.5647,163.435,0,0,9,9
video 6 id 780,14780,0,0,112.398,127.602,0,0,10,10
video 6 id 783,14783,0,0,32.4997,207.5,0,0,8,7
video 6 id 817,14817,11.2987,0,50.3995,178.302,3,0,9,13
video 6 id 836,14836,0,0,34.0663,205.934,0,0,7,11
video 7 id 774,14774,3.79996,0,51.4662,184.734,1,0,9,10
video 7 id 781,14781,1.26665,0,33.833,204.9,1,0,10,12
video 7 id 814,14814,0,0,38.3984,201.602,0,0,8,11
video 7 id 816,14816,0,0.899991,46.1983,192.902,0,1,8,10
video 7 id 837,14837,7.43326,0,125.536,107.031,5,0,33,22
video 8 id 775,14775,0,0,74.7659,165.234,0,0,12,14
video 8 id 776,14776,2.09998,1.26665,91.1015,145.532,1,1,19,13
video 8 id 778,14778,2.39998,15.9998,152.401,69.1993,1,7,22,14
video 8 id 784,14784,1.36665,9.19991,113.702,115.731,1,3,18,14
video 8 id 883,14883,36.9663,0,184.997,18.0368,7,0,16,4
video 9 id 729,14729,4.66542,0,120.702,114.632,3,0,18,9
video 9 id 777,14777,0,5.06662,112.198,122.736,0,1,12,12
video 9 id 782,14782,1.29999,0,82.198,156.502,1,0,10,15
video 9 id 834,14834,7.89872,4.16662,146.202,81.7325,3,2,16,13
vidoe 9 id 839,14839,6.6666,0,56.4364,176.897,4,0,8,6
viedo 1 id 768,14768,0,0,115.666,124.334,0,0,21,21
viedo 3 id 767,14767,0,0,64.8982,175.102,0,0,11,12
viedo 3 id 793,14793,0,0,88.6312,151.369,0,0,17,19
viedo 3 id 799,14799,0,0,93.9657,146.034,0,0,17,18
viedo 3 id 848,14848,0,0,95.899,144.101,0,0,19,16
viedo 4 id 763,14763,0,0,60.1315,179.868,0,0,13,15
viedo 4 id 786,14786,0,0,24.0331,215.967,0,0,5,8
viedo 4 id 790,14790,0,0.633327,16.7998,222.567,0,1,5,8
